time,mag,place,status,tsunami,sig,net,nst,dmin,rms,gap,magType,longitude,latitude,depth
10:49.9,2.04,Northern California,reviewed,0,64,nc,49.0,0.01802,0.04,53.0,md,-121.655,37.2691667,2.247
54:40.8,2.39,"22km ESE of Little Lake, CA",reviewed,0,88,ci,0.0,0.07825,0.085,230.5,mh,-117.677,35.86,10.48
05:18.9,2.11,"13km SE of Anza, California",reviewed,0,68,ci,0.0,,0.206,33.4,mc,-116.561,33.482,7.37
12:03.7,2.38,"17km S of Trona, CA",automatic,0,87,ci,37.0,0.04656,0.13,50.0,ml,-117.4133333,35.6106667,6.32
54:52.6,3.0,"66km W of Tonopah, Nevada",reviewed,0,138,nn,31.0,0.022,0.1332,42.59,ml,-117.9845,38.1475,11.4
44:34.5,2.54,Central California,reviewed,0,99,nc,24.0,0.4766,0.08,87.0,md,-119.3208333,38.266,9.103
23:43.0,2.19,Utah,reviewed,0,74,uu,18.0,0.1115,0.13,115.0,ml,-112.4603333,41.9761667,8.82
59:51.0,2.63,"1km ENE of Progreso, B.C., MX",reviewed,0,106,ci,31.0,0.1451,0.35,186.0,ml,-115.5731667,32.5833333,14.808
12:01.5,2.84,Central California,reviewed,0,124,nc,48.0,0.02883,0.04,47.0,md,-118.4705,37.5285,7.92
32:47.8,2.8,"16km N of Indio, California",reviewed,0,121,ci,0.0,,0.19,42.4,ml,-116.211,33.865,7.901
43:59.3,2.14,Northern California,reviewed,0,70,nc,21.0,0.05766,0.06,74.0,md,-123.1245,38.9623333,5.505
56:53.2,2.34,"61km WSW of Alberto Oviedo Mota, B.C., MX",reviewed,0,84,ci,0.0,0.6744,0.199,308.0,mc,-115.738,31.973,5.62
43:43.2,2.04,Utah,reviewed,0,64,uu,8.0,0.3911,0.38,154.0,md,-111.5895,38.793,6.01
15:06.4,3.0,Central California,reviewed,0,138,nc,43.0,0.06847,0.08,89.0,ml,-120.8638333,35.5926667,11.425
49:32.6,2.55,"20km WNW of Progreso, B.C., MX",reviewed,0,100,ci,11.0,0.04954,0.2,202.0,ml,-115.7828333,32.6356667,5.663
00:06.2,2.04,"Long Valley area, California",reviewed,0,64,nc,10.0,0.02072,0.02,65.0,md,-118.9213333,37.6376667,2.428
03:54.6,2.1,"San Francisco Bay area, California",reviewed,0,68,nc,27.0,0.07207,0.06,60.0,md,-121.9781667,37.8685,6.087
23:48.8,2.63,Central California,reviewed,0,106,nc,10.0,0.05225,0.02,151.0,md,-120.5203333,35.9818333,11.028
53:00.6,2.95,Central California,reviewed,0,134,nc,51.0,0.09459,0.15,60.0,md,-120.4528333,36.217,4.695
12:01.0,2.52,Northern California,reviewed,0,98,nc,39.0,0.1946,0.11,79.0,md,-119.7351667,38.727,0.385
21:05.9,2.2,"13km SSW of Searles Valley, CA",automatic,0,74,ci,31.0,0.04586,0.17,56.0,ml,-117.48,35.6648333,2.9
22:23.1,2.24,Northern California,reviewed,0,77,nc,32.0,0.02883,0.05,35.0,md,-122.8233333,38.826,0.391
07:39.1,2.32,"4km NW of Boron, CA",reviewed,0,83,ci,0.0,,0.238,0.0,mc,-117.68,35.03,-0.795
51:28.9,2.01,Central California,reviewed,0,62,nc,34.0,0.02162,0.07,81.0,md,-118.6161667,37.4293333,6.786
35:22.3,3.0,Central California,reviewed,0,138,nc,24.0,0.03153,0.05,74.0,md,-121.3291667,36.858,9.601
32:33.4,2.15,"2km WNW of Guadalupe Victoria, B.C., MX",reviewed,0,71,ci,0.0,,0.318,224.7,mc,-115.129,32.294,5.93
57:31.7,2.0,"5km ENE of Westmorland, CA",reviewed,0,62,ci,18.0,0.05354,0.31,119.0,ml,-115.5706635,33.0558319,14.479
03:41.8,2.0,Washington,reviewed,0,62,uw,7.0,0.0955,0.11,137.0,md,-122.7908333,46.7438333,1.425
33:37.4,2.62,"17km E of Desert Hot Springs, California",reviewed,0,106,ci,0.0,,0.18,71.5,mc,-116.32,33.977,6.968
17:45.4,3.71,Central California,reviewed,0,212,nc,36.0,0.04505,0.04,78.0,ml,-118.8266667,37.5191667,4.849
13:00.2,2.63,"26km W of Olancha, CA",reviewed,0,106,ci,3.0,0.2099,0.02,222.0,ml,-118.2935,36.3195,6.0
22:06.0,2.6,"11km SW of Estacion Coahuila, B.C., MX",reviewed,0,104,ci,9.0,0.1834,0.27,264.0,ml,-115.0793333,32.1188333,13.113
46:34.5,2.01,Central California,reviewed,0,62,nc,18.0,0.03874,0.03,113.0,md,-118.8871667,37.5725,1.59
45:09.8,2.07,"13km ESE of Santa Barbara Is., CA",reviewed,0,66,ci,0.0,,0.213,207.2,mc,-118.93,33.432,5.766
09:49.1,2.11,"6km W of Cobb, CA",reviewed,0,69,nc,63.0,0.01074,0.05,22.0,md,-122.7896667,38.8276667,1.6
07:01.1,2.11,Central California,reviewed,0,68,nc,52.0,0.04234,0.08,38.0,md,-121.3841667,36.9431667,8.935
24:21.3,2.16,"9km N of Victorville, CA",reviewed,0,72,ci,0.0,,0.2,0.0,mc,-117.3,34.62,-1.299
33:21.2,2.06,"15km ENE of Ridgecrest, CA",reviewed,0,65,ci,20.0,0.09969,0.15,84.0,ml,-117.5251667,35.6721667,8.18
14:08.5,2.77,Central California,reviewed,0,118,nc,14.0,0.04685,0.08,69.0,md,-121.0651667,36.5563333,5.551
47:13.2,2.41,Northern California,reviewed,0,89,nc,20.0,0.004505,0.04,63.0,md,-121.4855,37.0298333,8.618
02:01.0,2.0,"Mount St. Helens area, Washington",reviewed,0,62,uw,7.0,,0.42,119.0,md,-122.1945,46.1965,-1.47
58:41.5,4.15,Northern California,reviewed,0,265,nc,67.0,0.05946,0.11,45.0,mw,-122.7708333,38.7796667,3.93
52:51.2,2.31,"24km ESE of Julian, CA",reviewed,0,82,ci,47.0,0.1202,0.29,88.0,ml,-116.3601667,32.9948333,4.937
37:06.4,2.49,"7km ENE of Coso Junction, California",reviewed,0,95,ci,18.0,0.05507,0.18,93.0,mc,-117.8755,36.0651667,1.475
10:14.1,2.09,"28km NE of Ensenada, B.C., MX",reviewed,0,67,ci,0.0,0.8383,0.206,308.1,mc,-116.379,32.017,5.925
42:47.8,3.0,"196km W of Bandon, Oregon",reviewed,0,139,us,,1.879,1.12,208.0,ml,-126.8011,43.394,10.0
32:13.6,2.25,"45km NE of Holtville, CA",reviewed,0,78,ci,0.0,,0.292,101.0,mc,-115.0,33.06,-0.277
16:05.5,4.0,Nevada,reviewed,0,246,nn,4.0,0.06,0.0551,312.73,ml,-114.8839,41.1961,5.4
03:53.6,2.0,"44km ENE of Warm Springs, Nevada",reviewed,0,62,nn,21.0,0.261,0.1876,111.58,ml,-115.9168,38.3647,3.4
10:52.2,2.55,"17km SE of Old Faithful Geyser, Wyoming",reviewed,0,100,uu,13.0,0.07319,0.11,79.0,ml,-110.6623333,44.3558333,3.9
18:49.1,2.6,southern Idaho,reviewed,0,104,us,,,0.5,,ml,-111.127,42.691,5.0
28:30.5,3.07,Central California,reviewed,0,145,nc,13.0,0.08829,0.13,92.0,md,-120.544,36.0126667,5.108
08:04.2,3.1,"Puget Sound region, Washington",reviewed,0,279,uw,77.0,,0.36,55.0,md,-122.5761667,48.0836667,31.987
18:19.4,2.21,"16km ESE of Anza, CA",reviewed,0,75,ci,46.0,0.07884,0.24,41.0,ml,-116.5083333,33.5026667,13.605
39:23.6,2.16,Central California,reviewed,0,72,nc,12.0,0.05586,0.12,187.0,md,-120.946,35.5791667,4.403
26:55.8,2.1,Central California,reviewed,0,68,nc,66.0,0.02523,0.1,36.0,md,-121.5833333,36.8473333,7.231
56:06.0,3.29,"Long Valley area, California",reviewed,0,167,nc,36.0,0.02252,0.06,70.0,ml,-118.9385,37.6433333,5.024
48:57.9,2.1,"11km SW of Ocotillo, CA",reviewed,0,68,ci,11.0,0.04487,0.28,171.0,mh,-116.0568333,32.6565,9.85
13:53.6,2.06,Central California,reviewed,0,65,nc,30.0,0.04955,0.07,91.0,md,-118.3595,37.4683333,4.44
13:27.7,2.67,"1km SSW of Ocotillo, CA",reviewed,0,110,ci,0.0,,0.131,90.2,mc,-115.998,32.725,2.317
13:52.9,2.28,"2km SW of Yorba Linda, CA",reviewed,0,80,ci,0.0,,0.084,58.2,mc,-117.827,33.878,3.543
01:52.5,2.08,Northern California,reviewed,0,67,nc,28.0,0.02252,0.06,49.0,md,-122.7691667,38.8191667,-0.167
21:04.1,2.8,Oregon,reviewed,0,121,uw,13.0,1.043,0.38,308.0,md,-117.4213333,45.0253333,-0.741
39:27.0,2.47,Central California,reviewed,0,94,nc,47.0,0.05045,0.09,48.0,md,-120.3221667,36.2493333,8.343
58:23.2,2.28,"San Francisco Bay area, California",reviewed,0,80,nc,7.0,0.06126,0.3,194.0,md,-121.7306667,37.8325,-0.298
58:57.8,2.5,Northern California,reviewed,0,96,nc,12.0,0.05405,0.17,99.0,md,-122.3833333,38.8248333,-0.556
43:40.8,2.02,Central California,reviewed,0,63,nc,42.0,0.08108,0.05,49.0,md,-118.4373333,37.629,4.153
51:38.4,2.06,"10km WNW of Imperial, CA",reviewed,0,65,ci,0.0,,0.086,158.3,mc,-115.661,32.896,-0.266
46:17.2,2.6,Washington,reviewed,0,104,uw,25.0,0.1657,0.29,50.0,md,-120.8488333,47.6925,4.415
02:48.0,2.16,"24km SE of Mammoth Lakes, California",reviewed,0,72,nc,41.0,0.04865,0.06,103.0,md,-118.7828333,37.4848333,5.07
59:01.8,2.3,"54km WSW of Alberto Oviedo Mota, B.C., MX",reviewed,0,81,ci,7.0,0.6783,0.3,333.0,ml,-115.661,31.9713333,5.954
00:52.5,2.15,"11km ENE of Coso Junction, California",reviewed,0,71,ci,0.0,0.04342,0.151,112.5,mc,-117.833,36.078,1.79
46:57.7,2.24,"21km SSE of Progreso, B.C., MX",reviewed,0,77,ci,20.0,0.1573,0.19,179.0,ml,-115.4903333,32.407,9.284
28:30.0,3.38,"10km ENE of Desert Hot Springs, CA",reviewed,0,176,ci,0.0,,0.205,36.0,ml,-116.4,33.991,1.963
10:41.0,2.26,"7km WSW of Morongo Valley, CA",reviewed,0,79,ci,0.0,,0.059,62.4,mc,-116.651,34.033,10.446
33:38.9,2.45,"56km SE of Maneadero, B.C., MX",reviewed,0,92,ci,7.0,0.6963,0.32,231.0,ml,-116.22,31.3051667,7.774
09:08.9,2.4,Nevada,reviewed,0,89,nn,13.0,0.163,0.1119,137.06,ml,-119.5801,38.7324,6.6
30:15.9,2.08,"Yellowstone National Park, Wyoming",reviewed,0,67,uu,9.0,0.03501,0.13,82.0,md,-111.0415,44.735,8.65
03:54.6,2.12,"7km SSW of Lytle Creek, CA",reviewed,0,69,ci,3.0,0.2453,0.21,185.0,mh,-117.528,34.2041667,19.46
22:27.9,2.05,"Long Valley area, California",reviewed,0,65,nc,27.0,0.01892,0.04,68.0,md,-118.8661667,37.6275,6.072
01:07.0,2.72,"10km SW of Idyllwild, CA",reviewed,0,114,ci,31.0,,0.33,30.0,ml,-116.7866667,33.6655,15.1
53:59.8,2.29,"37km WSW of Ludlow, California",reviewed,0,81,ci,0.0,,0.238,43.3,mc,-116.549,34.638,1.03
21:52.8,2.4,"44km WSW of Carlsbad, CA",reviewed,0,89,ci,0.0,,0.214,189.1,mc,-117.772,32.972,5.756
53:27.9,2.36,Northern California,reviewed,0,86,nc,81.0,0.03604,0.04,73.0,md,-121.675,37.2951667,4.468
09:00.0,2.37,"9km WSW of Beaumont, CA",reviewed,0,86,ci,44.0,,0.13,46.0,ml,-117.0655,33.8975,14.515
55:19.3,2.19,"13km WNW of Calipatria, CA",reviewed,0,74,ci,0.0,,0.098,151.1,mc,-115.647,33.166,2.783
24:41.9,2.03,Utah,reviewed,0,63,uu,12.0,0.2953,0.14,85.0,md,-111.1588333,39.3383333,3.7
22:54.3,2.39,Central California,reviewed,0,88,nc,24.0,0.06396,0.08,109.0,md,-121.0951667,35.6643333,6.154
53:55.5,3.25,Northern California,reviewed,0,162,nc,57.0,0.01532,0.06,37.0,ml,-122.7961667,38.8238333,2.968
16:14.8,2.2,Central California,reviewed,0,74,nc,51.0,0.164,0.16,186.0,md,-121.158,37.1765,-0.228
36:46.5,2.58,"28km W of Bodfish, CA",reviewed,0,102,ci,0.0,,0.127,133.0,mc,-118.798,35.606,4.786
24:28.8,2.7,Colorado,reviewed,0,112,us,,,0.7,,ml,-107.572,39.617,5.0
11:23.3,2.24,"35km WSW of Ludlow, California",reviewed,0,77,ci,0.0,,0.178,44.3,mc,-116.529,34.63,1.417
54:59.9,2.54,"5km NNW of Granada Hills, California",reviewed,0,99,ci,0.0,,0.314,34.8,ml,-118.526,34.309,0.766
15:29.5,2.46,"12km SW of Valencia, California",reviewed,0,93,ci,0.0,,0.26,71.4,mc,-118.668,34.388,6.775
31:27.6,2.62,"71km SW of Alberto Oviedo Mota, B.C., MX",reviewed,0,106,ci,0.0,0.7847,0.497,256.5,mc,-115.786,31.864,5.726
31:47.6,2.27,Northern California,reviewed,0,79,nc,19.0,0.5144,0.05,222.0,md,-120.6675,39.7293333,-0.664
40:39.4,2.26,"3km NE of Orinda, CA",reviewed,0,104,nc,93.0,0.02156,0.12,26.0,md,-122.157,37.898,6.72
02:57.9,2.31,"6km E of Coso Junction, California",reviewed,0,82,ci,0.0,0.06692,0.193,96.1,mc,-117.884,36.055,0.556
34:35.6,3.14,"Long Valley area, California",reviewed,0,152,nc,17.0,0.02523,0.09,47.0,md,-118.7975,37.6021667,4.477
49:34.9,2.09,"13km S of Rancho Palos Verdes, CA",reviewed,0,68,ci,55.0,0.1145,0.23,97.0,ml,-118.3933333,33.629,13.46
31:00.6,2.04,"2km ENE of Shasta Lake, CA",reviewed,0,65,nc,27.0,0.1404,0.09,64.0,md,-122.3431667,40.6875,19.91
57:43.3,2.1,"13km WSW of Ludlow, CA",reviewed,0,68,ci,25.0,0.1162,0.18,57.0,ml,-116.2921667,34.6756667,1.389
46:23.3,2.3,Northern California,reviewed,0,81,nc,67.0,0.1036,0.09,62.0,md,-121.5506667,37.16,2.335
42:50.7,2.14,"20km NW of Tehachapi, CA",reviewed,0,70,ci,0.0,,0.085,71.1,mc,-118.592,35.267,5.256
34:30.9,2.14,"23km S of Fort Irwin, California",reviewed,0,70,ci,0.0,,0.167,119.6,mc,-116.651,35.059,4.948
14:05.6,2.6,"21km NNW of Desert Center, CA",reviewed,0,104,ci,33.0,0.04265,0.25,36.0,mh,-115.502,33.8848333,0.44
07:03.1,3.01,"9km ENE of Barstow, California",reviewed,0,139,ci,0.0,,0.233,60.2,ml,-116.926,34.923,-1.029
10:25.2,2.03,"7km WNW of Desert Hot Springs, CA",reviewed,0,63,ci,0.0,,0.162,134.3,mc,-116.572,33.979,7.206
55:33.0,2.5,"48km ESE of Beatty, Nevada",reviewed,0,96,ci,10.0,,0.47,307.0,mh,-116.2366667,36.7758333,4.655
08:19.4,3.09,"6km NE of Imperial, CA",reviewed,0,147,ci,23.0,0.0728,0.31,134.0,ml,-115.518,32.8851667,10.0
31:33.7,3.05,"12km SSW of Alberto Oviedo Mota, B.C., MX",reviewed,0,143,ci,10.0,0.2933,0.15,253.0,ml,-115.2215,32.134,14.939
31:09.4,3.2,Northern California,reviewed,0,158,nc,4.0,0.1216,0.06,289.0,ml,-120.387,39.2983333,6.702
02:59.6,2.51,"2km SW of Brawley, California",reviewed,0,97,ci,33.0,0.1397,0.29,52.0,ml,-115.5443333,32.968,15.106
15:58.4,2.39,"4km N of Yucca Valley, California",reviewed,0,88,ci,0.0,,0.191,48.9,mc,-116.433,34.149,2.307
11:07.4,2.01,"2km ENE of Bell Gardens, CA",reviewed,0,62,ci,0.0,,0.113,118.4,mc,-118.127,33.97,6.509
32:09.2,2.36,"32km WSW of Ludlow, California",reviewed,0,86,ci,0.0,,0.234,59.5,mc,-116.506,34.66,1.222
42:17.5,2.22,"14km SSE of Bodfish, CA",reviewed,0,76,ci,40.0,0.1841,0.25,34.0,ml,-118.4303333,35.4756667,4.644
47:26.1,4.1,"Mount St. Helens area, Washington",reviewed,0,259,uw,10.0,0.07449,0.33,158.0,md,-122.1773333,46.2556667,-1.33
53:24.8,2.23,Central California,reviewed,0,77,nc,34.0,0.02252,0.09,93.0,md,-118.5431667,37.9326667,4.059
20:58.9,2.7,Northern California,reviewed,0,112,nc,46.0,0.01351,0.03,50.0,md,-122.8088333,38.8151667,4.35
31:57.8,2.08,"12km ENE of Ocotillo Wells, CA",reviewed,0,67,ci,63.0,0.09302,0.19,29.0,ml,-116.013,33.1896667,9.11
01:37.9,2.88,off the coast of Northern California,reviewed,0,128,nc,23.0,1.148,0.07,307.0,md,-125.5556667,41.154,3.112
20:18.1,2.26,"23km ENE of Barstow, California",reviewed,0,79,ci,0.0,,0.183,77.3,mc,-116.772,34.944,0.178
48:53.7,2.58,Central California,reviewed,0,102,nc,14.0,0.3225,0.1,212.0,md,-119.3951667,38.3268333,3.364
14:51.4,2.77,"12km WNW of Calipatria, CA",reviewed,0,118,ci,58.0,0.02268,0.23,34.0,ml,-115.6361667,33.1626667,4.83
02:23.8,2.2,"5km SSE of Westmorland, CA",reviewed,0,74,ci,19.0,0.1133,0.22,47.0,ml,-115.5913333,32.9961667,12.195
49:21.5,3.55,"28km E of Coso Junction, California",reviewed,0,194,ci,0.0,0.1157,0.173,216.1,ml,-117.64,36.079,-0.21
13:18.9,2.37,Northern California,reviewed,0,86,nc,20.0,0.01622,0.05,60.0,md,-122.8136667,38.8016667,-0.413
35:20.3,2.25,"9km N of Victorville, CA",reviewed,0,78,ci,0.0,0.1851,0.117,274.9,mc,-117.3,34.62,-0.885
26:04.6,2.56,Northern California,reviewed,0,101,nc,29.0,0.02252,0.05,45.0,md,-122.7811667,38.8746667,2.518
35:02.7,3.4,"38km ENE of Ensenada, B.C., MX",reviewed,0,178,ci,0.0,,0.392,253.6,ml,-116.24,31.977,6.0
41:38.2,2.2,"Puget Sound region, Washington",reviewed,0,74,uw,42.0,0.1276,0.23,50.0,md,-121.8756667,47.6706667,12.368
24:23.3,2.15,"17km N of Ridgecrest, California",reviewed,0,71,ci,0.0,0.06236,0.142,95.5,mc,-117.647,35.768,4.816
52:55.1,2.68,Northern California,reviewed,0,110,nc,8.0,0.1297,0.03,124.0,md,-123.9546667,40.5051667,19.047
16:31.1,2.01,"11km NE of Ocotillo Wells, CA",reviewed,0,62,ci,49.0,0.0873,0.23,39.2,ml,-116.0336667,33.2023333,12.963
51:48.3,2.32,offshore Northern California,reviewed,0,83,nc,7.0,0.1333,0.01,253.0,md,-124.4338333,40.3645,17.857
38:28.1,2.99,"6km N of Lamont, CA",reviewed,0,138,ci,10.0,0.5093,0.27,130.0,ml,-118.9243333,35.3093333,6.0
28:48.9,2.54,Northern California,reviewed,0,99,nc,21.0,0.7622,0.05,231.0,md,-119.6241667,38.7246667,-0.447
45:25.8,2.8,Washington,reviewed,0,121,uw,5.0,0.3315,0.1,247.0,md,-121.771,47.631,13.949
37:47.5,2.74,"35km NE of Ensenada, B.C., MX",reviewed,0,116,ci,14.0,0.6242,0.26,277.0,ml,-116.3215,32.0618333,5.49
53:47.1,2.41,"16km WNW of Petrolia, CA",reviewed,0,90,nc,22.0,0.1294,0.09,248.0,md,-124.4621667,40.3801667,16.55
32:20.8,2.0,"6km N of Yucca Valley, California",reviewed,0,62,ci,0.0,,0.146,66.2,mh,-116.435,34.165,-0.343
27:20.6,5.4,"85km SE of San Felipe, Mexico",reviewed,0,449,us,,0.789,0.99,123.0,mww,-114.2749,30.4209,10.0
40:08.5,2.08,"5km SE of Loma Linda, CA",reviewed,0,68,ci,93.0,0.09431,0.29,24.0,ml,-117.223,34.014,16.809
38:24.7,2.1,"Mount St. Helens area, Washington",reviewed,0,68,uw,12.0,,0.1,92.0,md,-122.1865,46.1988333,-1.744
26:17.6,2.3,"11km NE of Barstow, CA",reviewed,0,81,ci,23.0,,0.17,62.0,mh,-116.9398333,34.9716667,-0.912
00:51.8,2.24,Central California,reviewed,0,77,nc,31.0,0.03874,0.1,79.0,md,-120.327,36.2011667,8.476
17:56.1,3.9,Arizona,reviewed,0,234,us,,,0.7,,ml,-112.279,35.967,5.0
12:37.8,2.08,"2km WSW of Brawley, CA",reviewed,0,67,ci,24.0,0.0679,0.23,83.0,ml,-115.549,32.9688333,3.12
03:38.2,2.03,offshore Northern California,reviewed,0,63,nc,9.0,0.4414,0.08,310.0,md,-124.8288333,40.734,24.851
16:31.4,2.2,"15km WNW of Progreso, B.C., MX",reviewed,0,74,ci,12.0,0.03191,0.18,218.0,ml,-115.7378333,32.6188333,6.506
44:42.4,3.36,"8km SW of Alberto Oviedo Mota, B.C., MX",reviewed,0,174,ci,14.0,0.179,0.14,252.0,ml,-115.2361667,32.1853333,18.749
27:05.3,3.59,"20km S of Estacion Coahuila, B.C., MX",reviewed,0,198,ci,6.0,0.6554,0.07,275.0,ml,-114.9995,32.0168333,9.97
34:34.2,2.49,"46km E of Maneadero, B.C., MX",reviewed,0,95,ci,6.0,0.9891,0.22,318.0,mh,-116.0858333,31.6583333,6.0
07:49.9,2.5,"Long Valley area, California",reviewed,0,96,nc,22.0,0.01712,0.04,86.0,md,-118.8486667,37.6515,7.144
28:28.2,4.8,"Mount St. Helens area, Washington",reviewed,0,354,uw,19.0,0.04168,0.18,60.0,md,-122.1811667,46.2098333,0.838
12:18.0,2.18,Central California,reviewed,0,73,nc,36.0,0.03964,0.06,67.0,md,-118.5921667,37.4603333,3.746
22:44.0,2.0,Washington,reviewed,0,62,uw,7.0,0.319,0.55,117.0,md,-122.1788333,48.5236667,15.315
18:59.1,2.12,"55km SSW of Progreso, B.C., MX",reviewed,0,69,ci,7.0,,0.26,299.0,mh,-115.8245,32.1256667,5.694
39:35.4,3.05,"9km E of Big Bear City, California",reviewed,0,143,ci,0.0,,0.176,107.5,ml,-116.746,34.261,-1.443
49:23.8,2.03,Central California,reviewed,0,63,nc,62.0,0.03063,0.15,36.0,md,-121.411,36.7766667,9.668
51:08.8,2.8,"15km E of Fernley, Nevada",reviewed,0,124,nn,33.0,0.253,0.2503,108.23,ml,-119.0895,39.6011,12.1
40:37.7,2.91,"10km S of Estacion Coahuila, B.C., MX",reviewed,0,130,ci,11.0,0.2074,0.27,266.0,ml,-115.0081667,32.103,18.101
16:24.3,2.57,Central California,reviewed,0,102,nc,82.0,0.05766,0.08,31.0,md,-121.3083333,36.6803333,5.846
48:33.3,2.54,"4km NNW of Stovepipe Wells, CA",reviewed,0,99,ci,14.0,0.2972,0.33,146.0,ml,-117.1708333,36.6316667,4.984
11:46.5,2.34,Central California,reviewed,0,84,nc,6.0,0.327,0.02,280.0,md,-119.3433333,37.5345,4.31
20:29.9,2.61,Central California,reviewed,0,105,nc,54.0,0.02252,0.05,38.0,md,-121.3003333,36.6743333,5.838
56:04.7,2.22,Northern California,reviewed,0,76,nc,12.0,0.1991,0.05,178.0,md,-121.5935,40.9938333,17.84
57:48.0,2.26,"17km WSW of Delta, B.C., MX",reviewed,0,79,ci,16.0,0.4622,0.11,232.0,ml,-115.364,32.3021667,10.217
32:50.3,2.12,"9km N of Victorville, CA",reviewed,0,69,ci,0.0,0.1851,0.2,0.0,mc,-117.3,34.62,-1.223
41:41.5,2.59,"Long Valley area, California",reviewed,0,103,nc,13.0,0.02883,0.07,104.0,md,-118.9365,37.6373333,4.368
22:58.1,2.66,"45km NE of Squaw Valley, CA",reviewed,0,109,ci,2.0,0.5629,0.06,319.0,ml,-118.9336667,37.0631667,6.0
37:43.1,2.68,Central California,reviewed,0,110,nc,73.0,0.01892,0.04,75.0,md,-121.292,36.8353333,7.288
04:42.9,2.58,"29km SE of Bodie, CA",reviewed,0,103,nc,32.0,0.2821,0.05,109.0,md,-118.7516667,38.0466667,2.76
48:00.6,2.31,Central California,reviewed,0,82,nc,12.0,0.1766,0.02,283.0,md,-120.128,36.2196667,10.329
17:47.0,2.36,"British Columbia, Canada",reviewed,0,86,uw,13.0,0.5861,0.4,204.0,md,-120.5058333,49.3908333,-0.54
04:49.0,2.61,"18km SSE of Joshua Tree, California",reviewed,0,105,ci,0.0,,0.162,68.3,mc,-116.238,33.99,2.054
45:44.2,2.26,"12km NW of Anza, CA",reviewed,0,79,ci,0.0,,0.101,76.1,mc,-116.769,33.632,17.38
17:01.6,2.61,"6km NE of Imperial, CA",reviewed,0,105,ci,32.0,0.07957,0.36,105.0,ml,-115.525,32.8888333,10.0
02:43.3,2.39,offshore Northern California,reviewed,0,88,nc,8.0,0.1144,0.02,261.0,md,-124.441,40.2996667,19.829
21:21.4,4.5,"273km WNW of Bandon, Oregon",reviewed,0,312,us,,2.644,0.7,169.0,mb,-127.6956,43.6948,10.0
58:33.2,2.16,"7km WNW of Desert Hot Springs, CA",reviewed,0,72,ci,0.0,,0.18,107.9,mc,-116.57,33.985,9.996
58:02.4,2.3,"British Columbia, Canada",reviewed,0,81,uw,12.0,1.403,0.46,238.0,md,-119.87,49.4363333,24.63
35:50.0,2.26,"8km E of Coso Junction, California",reviewed,0,79,ci,0.0,0.06227,0.133,83.6,ml,-117.866,36.056,1.633
38:52.8,2.99,"16km S of Joshua Tree, California",reviewed,0,138,ci,0.0,,0.16,40.7,mc,-116.288,33.995,2.858
01:11.3,2.36,"5km WNW of Rancho Cucamonga, CA",reviewed,0,86,ci,34.0,,0.2,74.0,ml,-117.6295,34.1426667,10.242
06:37.2,2.23,"12km N of Inyokern, CA",reviewed,0,77,ci,7.0,0.1683,0.22,165.0,mh,-117.7885,35.7508333,0.0
20:17.0,2.78,"8km SE of Tijuana, B.C., MX",reviewed,0,134,ci,38.0,0.08606,0.19,138.0,ml,-116.9618333,32.474,16.28
57:23.0,2.02,Central California,reviewed,0,63,nc,23.0,0.1009,0.08,145.0,md,-120.1836667,36.1141667,7.927
51:06.2,2.67,"24km SSW of Ludlow, California",reviewed,0,110,ci,0.0,,0.165,87.9,ml,-116.298,34.534,-1.216
48:15.4,2.06,"3km NNW of Muscoy, CA",reviewed,0,65,ci,0.0,,0.185,64.3,mc,-117.357,34.177,3.741
04:07.8,2.03,"9km N of Victorville, CA",reviewed,0,63,ci,0.0,,0.225,135.5,mc,-117.3,34.62,-1.004
15:02.9,2.64,"24km SSE of Ludlow, California",automatic,0,107,ci,0.0,,0.27,181.0,ml,-116.0806656,34.5136681,5.747
16:11.5,2.05,"37km ENE of Lucerne Valley, California",reviewed,0,65,ci,0.0,,0.078,59.6,mc,-116.624,34.623,2.347
29:33.5,2.61,"16km NNE of Apple Valley, CA",reviewed,0,105,ci,0.0,,0.244,67.4,mc,-117.12,34.63,-1.286
56:34.5,2.51,Northern California,reviewed,0,97,nc,24.0,0.1712,0.05,189.0,md,-121.3086667,40.1966667,8.357
34:31.5,2.48,Central California,reviewed,0,95,nc,75.0,0.02252,0.05,34.0,md,-121.1998333,36.596,6.663
07:48.8,2.45,Central California,reviewed,0,92,nc,61.0,0.04414,0.08,54.0,md,-121.1161667,35.714,6.791
41:10.8,2.2,"67km SW of Alberto Oviedo Mota, B.C., MX",reviewed,0,74,ci,0.0,,0.291,324.6,mh,-115.726,31.855,5.936
53:57.2,2.26,"4km WNW of Estacion Coahuila, B.C., MX",reviewed,0,79,ci,3.0,0.8643,0.09,278.0,mh,-115.0461667,32.2048333,4.99
36:16.0,2.36,"7km S of Salton City, CA",reviewed,0,86,ci,49.0,,0.29,35.0,mc,-115.9686667,33.2406667,3.27
36:44.2,2.58,"18km ENE of Shoshone, CA",reviewed,0,102,ci,6.0,0.4554,0.13,161.0,ml,-116.0821667,36.0258333,5.001
46:34.3,2.0,Nevada,reviewed,0,62,nn,29.0,0.05,0.1387,45.08,ml,-119.9871,39.3241,6.4
50:39.4,2.4,Central California,reviewed,0,89,nc,28.0,0.04234,0.26,90.0,md,-120.3451667,36.2073333,-0.488
