time,mag,place,status,tsunami,sig,net,nst,dmin,rms,gap,magType,longitude,latitude,depth
44:07.1,4.0,southern Idaho,reviewed,0,246,us,,,0.7,,ml,-115.751,44.428,5.0
37:13.0,2.4,"Olympic Peninsula, Washington",reviewed,0,89,uw,40.0,,0.32,36.0,md,-123.0981667,47.9186667,42.475
07:10.1,2.33,Northern California,reviewed,0,84,nc,8.0,0.05135,0.02,95.0,md,-122.3881667,38.8266667,-0.62
38:59.4,2.72,Northern California,reviewed,0,114,nc,18.0,0.02613,0.08,38.0,md,-122.8278333,38.8041667,0.219
47:55.9,2.73,"2km W of San Fernando, CA",reviewed,0,115,ci,62.0,0.0151,0.33,32.0,ml,-118.4613333,34.2791667,12.13
18:35.9,2.31,"10km NNE of Coso Junction, CA",automatic,0,82,ci,28.0,0.0419,0.14,59.0,ml,-117.9048333,36.1285,8.31
15:34.8,3.27,"8km NNW of Los Olivos, CA",reviewed,0,165,ci,0.0,,0.14,84.0,ml,-120.15,34.736,4.541
21:48.0,2.72,Northern California,reviewed,0,114,nc,33.0,0.1045,0.1,70.0,md,-121.2265,39.4781667,13.113
10:55.5,2.08,"39km ENE of Lucerne Valley, California",reviewed,0,67,ci,0.0,,0.179,92.3,mc,-116.604,34.629,3.757
22:34.2,2.4,"Mount Rainier area, Washington",reviewed,0,89,uw,27.0,0.0593,0.14,47.0,md,-121.8791667,46.8546667,5.568
49:28.0,2.48,"16km W of Ludlow, CA",reviewed,0,95,ci,22.0,,0.15,74.0,ml,-116.3365,34.7101667,4.594
11:53.9,2.4,"Mount St. Helens area, Washington",reviewed,0,89,uw,10.0,,0.04,99.0,md,-122.1885,46.1971667,-1.033
23:43.0,2.24,"21km W of Progreso, B.C., MX",reviewed,0,77,ci,0.0,,0.218,187.4,mc,-115.81,32.601,11.845
24:09.6,2.05,"9km SSW of Morongo Valley, CA",reviewed,0,65,ci,0.0,,0.262,82.9,mc,-116.607,33.968,6.278
30:42.7,5.01,"44km SSE of Hawthorne, NV",reviewed,0,386,ci,9.0,1.107,0.48,319.0,ml,-118.4671667,38.1468333,6.0
29:04.7,2.83,"16km SSE of Big Bear Lake, California",reviewed,0,123,ci,0.0,,0.187,65.4,ml,-116.856,34.103,-0.27
51:04.4,2.24,"19km W of Westmorland, CA",reviewed,0,77,ci,0.0,,0.065,127.2,mc,-115.824,33.004,5.176
42:35.9,2.25,Central California,reviewed,0,78,nc,63.0,0.02342,0.06,44.0,md,-121.3663333,36.7238333,2.614
45:43.6,2.92,"34km SSW of Ferndale, California",reviewed,0,132,nc,20.0,0.1153,0.16,241.0,ml,-124.4315,40.2906667,17.73
30:35.6,2.12,"19km NE of Arvin, CA",reviewed,0,69,ci,16.0,0.1021,0.13,67.0,ml,-118.6773333,35.333,1.731
44:32.4,2.5,Washington,reviewed,0,96,uw,24.0,,0.39,89.0,md,-122.1948333,48.8466667,-0.671
29:32.6,2.9,Nevada,reviewed,0,129,nn,24.0,0.039,0.1225,68.75,ml,-118.7262,38.4095,2.6
24:01.0,2.19,Central California,reviewed,0,74,nc,41.0,0.02613,0.08,37.0,md,-121.5001667,36.7786667,8.66
31:40.8,2.12,"Long Valley area, California",reviewed,0,69,nc,9.0,0.03694,0.07,118.0,md,-118.8686667,37.6141667,-0.753
12:53.6,2.8,"Mount St. Helens area, Washington",reviewed,0,121,uw,16.0,,0.13,85.0,md,-122.1915,46.1945,-1.804
36:12.7,2.11,"26km SSW of Lima, Montana",reviewed,0,68,mb,22.0,0.278,0.31,108.0,ml,-112.676,44.402,8.17
05:46.7,2.2,"6km NNW of Boron, CA",reviewed,0,74,ci,11.0,0.3069,0.16,129.0,mh,-117.6846667,35.0441667,7.0
36:09.5,2.51,"9km SE of Big Bear City, CA",reviewed,0,97,ci,0.0,,0.054,166.4,mc,-116.781,34.196,4.915
03:55.7,3.55,"6km N of Pacoima, California",reviewed,0,194,ci,0.0,,0.272,66.9,ml,-118.447,34.334,5.781
24:39.3,2.0,"5km NNW of Ely, Nevada",reviewed,0,62,nn,8.0,0.262,0.826,97.51,ml,-114.9162,39.2935,0.0
00:31.4,3.0,"22km NNW of Desert Center, CA",reviewed,0,138,ci,40.0,0.05293,0.22,36.0,mh,-115.5226667,33.8831667,-0.072
26:22.3,3.29,"17km W of Searles Valley, CA",reviewed,0,167,ci,50.0,0.03847,0.13,54.0,ml,-117.5915,35.7775,3.86
13:40.7,3.9,southern Idaho,reviewed,0,234,us,,,0.9,,ml,-111.143,42.807,5.0
11:19.7,2.06,"19km E of Little Lake, CA",reviewed,0,65,ci,36.0,0.05099,0.1,27.0,ml,-117.6968333,35.9135,3.91
46:16.8,2.29,Northern California,reviewed,0,81,nc,12.0,0.06216,0.1,106.0,md,-123.5503333,40.1476667,4.222
31:50.4,2.6,"6km WNW of Fillmore, California",reviewed,0,104,ci,0.0,,0.286,76.5,ml,-118.983,34.415,16.532
02:21.4,2.11,"40km NE of Big Bear City, California",reviewed,0,68,ci,0.0,0.1763,0.139,112.9,mc,-116.513,34.493,-0.273
16:48.8,2.62,"40km WSW of Ludlow, California",reviewed,0,106,ci,0.0,,0.111,67.1,mc,-116.524,34.528,4.853
46:38.8,2.2,"Mount St. Helens area, Washington",reviewed,0,74,uw,8.0,,0.04,92.0,md,-122.1863333,46.1988333,-1.373
42:43.9,2.9,Washington,reviewed,0,129,uw,16.0,0.0926,0.16,88.0,md,-122.8066667,46.7286667,3.755
01:11.2,2.3,"69km ENE of Maneadero, B.C., MX",reviewed,0,81,ci,0.0,,0.278,297.3,mc,-115.88,31.916,5.62
20:41.7,3.32,"5km NNW of Granada Hills, CA",reviewed,0,170,ci,,,,,mh,-118.5241667,34.3106667,3.32
00:29.1,2.3,"12km SSW of Twentynine Palms, California",reviewed,0,81,ci,0.0,,0.136,54.0,mc,-116.135,34.039,3.323
54:16.5,2.78,"9km SE of Mammoth Lakes, California",reviewed,0,119,nc,41.0,0.02973,0.06,88.0,md,-118.884,37.5945,1.88
50:26.7,2.43,"1km N of Silver Lake, CA",reviewed,0,91,ci,21.0,,0.17,69.0,mc,-118.263,34.1005,10.852
00:40.1,2.4,"18km NNE of Kernville, CA",reviewed,0,89,ci,0.0,0.138,0.246,0.0,mc,-118.32,35.889,1.252
49:50.0,2.0,Washington,reviewed,0,62,uw,25.0,,0.15,48.0,md,-121.9576667,46.9313333,12.525
46:34.4,2.0,Nevada,reviewed,0,62,nn,10.0,0.033,0.114,33.29,ml,-114.8849,41.0997,9.9
32:50.8,2.59,"25km ENE of Ridgemark, California",reviewed,0,104,nc,69.0,0.1108,0.11,80.0,md,-121.1086667,36.9098333,-0.36
49:27.0,2.95,"15km NNE of Barstow, California",reviewed,0,134,ci,0.0,,0.173,60.7,ml,-116.973,35.031,2.871
14:56.8,2.16,Northern California,reviewed,0,72,nc,24.0,0.03243,0.05,69.0,md,-122.6895,38.7488333,1.308
47:29.1,2.37,"16km NNE of Barstow, California",reviewed,0,86,ci,0.0,,0.179,100.6,mc,-116.977,35.04,3.401
51:39.3,2.19,"22km W of Westmorland, CA",reviewed,0,74,ci,0.0,,0.097,171.7,mc,-115.855,33.022,3.265
20:26.3,2.8,"11km WSW of Searles Valley, CA",automatic,0,121,ci,35.0,0.08387,0.15,60.0,ml,-117.5093333,35.7118333,8.87
18:20.8,2.54,"19km ESE of Little Lake, CA",reviewed,0,99,ci,13.0,0.08154,0.08,70.0,ml,-117.7053333,35.8743333,2.2
18:07.5,2.73,"19km N of Barstow, California",reviewed,0,115,ci,0.0,,0.196,67.3,ml,-116.997,35.072,-0.843
47:14.0,2.27,"19km S of Solvang, CA",reviewed,0,79,ci,0.0,0.1845,0.511,0.0,mc,-120.164,34.425,-0.707
52:36.2,2.57,"30km ESE of Estacion Coahuila, B.C., MX",reviewed,0,102,ci,8.0,0.4721,0.3,288.0,mh,-114.6995,32.097,6.0
10:03.9,3.13,Northern California,reviewed,0,151,nc,13.0,0.08559,0.05,77.0,md,-123.1966667,40.7436667,29.528
